구분,주소(지번) (addr),주소(도로명) (addr_road),주소(상세) (addr_detail),상세위치 (location_detail),계량기 타입 (meter_type),충전시간 (charging_time),로밍회원 충전여부 (roaming_yn),충전전력량(합계) (charging_kwh),charging_time_td,charging_hour,charging_speed_kwh_per_hour
38,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,2:02:39,n,1.307,0 days 02:02:39,2.0441666666666665,0.639380350591113
39,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,3:18:24,n,13.232,0 days 03:18:24,3.3066666666666666,4.001612903225806
40,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,0:00:02,n,0.0,0 days 00:00:02,0.0005555555555555556,0.0
41,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,3:45:16,n,3.483,0 days 03:45:16,3.7544444444444443,0.9277005031074284
42,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,7:13:34,y,37.105,0 days 07:13:34,7.226111111111111,5.134850465134158
43,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:46:40,n,54.45,0 days 00:46:40,0.7777777777777778,70.00714285714285
44,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:01:37,n,0.69,0 days 00:01:37,0.026944444444444444,25.60824742268041
45,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:44:03,y,66.73,0 days 00:44:03,0.7341666666666666,90.89216799091942
46,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,1:04:09,n,67.11,0 days 01:04:09,1.0691666666666666,62.76851130163679
47,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:33:18,n,28.55,0 days 00:33:18,0.555,51.44144144144144
48,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,10:45:26,y,40.094,0 days 10:45:26,10.757222222222222,3.7271703764912467
49,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,4:25:39,n,8.502,0 days 04:25:39,4.4275,1.9202710333145117
50,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,69:42:54,n,82.954,2 days 21:42:54,69.715,1.189901742810012
51,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,1:12:45,n,56.15,0 days 01:12:45,1.2125,46.30927835051546
52,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:46:16,n,48.08,0 days 00:46:16,0.7711111111111111,62.351585014409224
53,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,DC콤보,0:22:21,n,15.51,0 days 00:22:21,0.3725,41.63758389261745
54,전남 나주시 빛가람동 188,전남 나주시 빛가람로 661,한전kdn 지상주차장,지상 1층,AC완속,7:51:05,n,53.079,0 days 07:51:05,7.851388888888889,6.760459932779056
